Data Set 2:Time(s),Data Set 2:Potential(V),Data Set 2:Position(m)
0,0.033,0.338
0.05,0.033,0.337
0.1,0.033,0.336
0.15,0.033,0.336
0.2,0.027,0.337
0.25,0.033,0.337
0.3,0.033,0.338
0.35,0.036,0.339
0.4,0.03,0.34
0.45,0.033,0.341
0.5,0.033,0.341
0.55,0.033,0.341
0.6,0.033,0.341
0.65,0.024,0.34
0.7,0.033,0.34
0.75,0.036,0.339
0.8,0.036,0.338
0.85,0.024,0.337
0.9,0.033,0.337
0.95,0.036,0.336
1,0.033,0.337
1.05,0.024,0.337
1.1,0.033,0.338
1.15,0.036,0.339
1.2,0.036,0.34
1.25,0.024,0.34
1.3,0.033,0.341
1.35,0.036,0.341
1.4,0.033,0.341
1.45,0.024,0.341
1.5,0.033,0.34
1.55,0.033,0.339
1.6,0.033,0.338
1.65,0.033,0.337
1.7,0.033,0.337
1.75,0.033,0.336
1.8,0.033,0.336
1.85,0.036,0.337
1.9,0.024,0.338
1.95,0.033,0.339
2,0.03,0.339
2.05,0.024,0.34
2.1,0.03,0.341
2.15,0.033,0.341
2.2,0.033,0.341
2.25,0.033,0.341
2.3,0.03,0.34
2.35,0.03,0.339
2.4,0.033,0.338
2.45,0.033,0.338
2.5,0.036,0.337
2.55,0.027,0.336
2.6,0.033,0.337
2.65,0.033,0.337
2.7,0.033,0.338
2.75,0.027,0.339
2.8,0.033,0.339
2.85,0.036,0.34
2.9,0.036,0.341
2.95,0.03,0.341
3,0.03,0.341
3.05,0.03,0.341
3.1,0.033,0.34
3.15,0.027,0.34
3.2,0.033,0.339
3.25,0.033,0.338
3.3,0.033,0.337
3.35,0.033,0.337
3.4,0.036,0.337
3.45,0.033,0.337
3.5,0.033,0.338
3.55,0.036,0.338
3.6,0.036,0.339
3.65,0.03,0.34
3.7,0.024,0.341
3.75,0.033,0.341
3.8,0.027,0.341
3.85,0.033,0.341
3.9,0.027,0.34
3.95,0.033,0.34
4,0.027,0.339
4.05,0.03,0.338
4.1,0.033,0.337
4.15,0.033,0.337
4.2,0.033,0.336
4.25,0.033,0.337
4.3,0.589,0.337
4.35,2.042,0.338
4.4,3.184,0.339
4.45,3.846,0.339
4.5,3.937,0.339
4.55,3.426,0.339
4.6,2.408,0.339
4.65,1.015,0.338
4.7,-0.52,0.337
4.75,-1.97,0.337
4.8,-3.112,0.337
4.85,-3.771,0.337
4.9,-3.868,0.339
4.95,-3.354,0.34
5,-2.333,0.341
5.05,-0.943,0.343
5.1,0.589,0.344
5.15,2.042,0.344
5.2,3.184,0.343
5.25,3.849,0.342
5.3,3.937,0.339
5.35,3.426,0.337
5.4,2.408,0.334
5.45,1.009,0.332
5.5,-0.52,0.331
5.55,-1.973,0.331
5.6,-3.115,0.332
5.65,-3.777,0.335
5.7,-3.868,0.338
5.75,-3.36,0.342
5.8,-2.333,0.346
5.85,-0.946,0.351
5.9,0.592,0.353
5.95,2.045,0.353
6,3.187,0.351
6.05,3.843,0.345
6.1,3.94,0.34
6.15,3.42,0.335
6.2,2.408,0.33
6.25,1.018,0.327
6.3,-0.517,0.325
6.35,-1.973,0.325
6.4,-3.115,0.327
6.45,-3.777,0.332
6.5,-3.865,0.337
6.55,-3.36,0.344
6.6,-2.333,0.35
6.65,-0.94,0.356
6.7,0.592,0.359
6.75,2.042,0.359
6.8,3.187,0.356
6.85,3.852,0.348
6.9,3.94,0.342
6.95,3.426,0.334
7,2.408,0.327
7.05,1.018,0.321
7.1,-0.517,0.318
7.15,-1.979,0.318
7.2,-3.115,0.322
7.25,-3.777,0.328
7.3,-3.868,0.336
7.35,-3.348,0.345
7.4,-2.333,0.355
7.45,-0.943,0.362
7.5,0.586,0.365
7.55,2.039,0.365
7.6,3.19,0.361
7.65,3.849,0.354
7.7,3.94,0.343
7.75,3.426,0.333
7.8,2.411,0.324
7.85,1.012,0.316
7.9,-0.517,0.312
7.95,-1.973,0.312
8,-3.119,0.316
8.05,-3.78,0.323
8.1,-3.865,0.334
8.15,-3.351,0.345
8.2,-2.333,0.358
8.25,-0.946,0.366
8.3,0.592,0.371
8.35,2.045,0.372
8.4,3.178,0.368
8.45,3.852,0.359
8.5,3.94,0.348
8.55,3.426,0.333
8.6,2.405,0.322
8.65,1.018,0.312
8.7,-0.52,0.306
8.75,-1.973,0.306
8.8,-3.115,0.31
8.85,-3.774,0.318
8.9,-3.868,0.33
8.95,-3.36,0.344
9,-2.339,0.359
9.05,-0.943,0.37
9.1,0.592,0.377
9.15,2.042,0.378
9.2,3.19,0.373
9.25,3.849,0.364
9.3,3.94,0.351
9.35,3.426,0.334
9.4,2.411,0.32
9.45,1.018,0.309
9.5,-0.517,0.301
9.55,-1.973,0.299
9.6,-3.112,0.304
9.65,-3.777,0.314
9.7,-3.874,0.327
9.75,-3.348,0.343
9.8,-2.336,0.361
9.85,-0.943,0.374
9.9,0.589,0.382
9.95,2.036,0.384
10,3.19,0.38
10.05,3.849,0.369
10.1,3.94,0.355
10.15,3.429,0.335
10.2,2.411,0.319
10.25,1.012,0.305
10.3,-0.514,0.296
10.35,-1.97,0.293
10.4,-3.115,0.297
10.45,-3.777,0.308
10.5,-3.877,0.323
10.55,-3.354,0.341
10.6,-2.333,0.362
10.65,-0.943,0.377
10.7,0.589,0.387
10.75,2.036,0.391
10.8,3.187,0.386
10.85,3.849,0.375
10.9,3.94,0.359
10.95,3.426,0.338
11,2.408,0.318
11.05,1.021,0.302
11.1,-0.517,0.291
11.15,-1.97,0.285
11.2,-3.115,0.291
11.25,-3.774,0.302
11.3,-3.868,0.319
11.35,-3.351,0.339
11.4,-2.336,0.362
11.45,-0.952,0.38
11.5,0.583,0.392
11.55,2.039,0.398
11.6,3.184,0.392
11.65,3.849,0.381
11.7,3.94,0.363
11.75,3.429,0.34
11.8,2.414,0.318
11.85,1.024,0.3
11.9,-0.511,0.285
11.95,-1.967,0.279
12,-3.115,0.282
12.05,-3.774,0.296
12.1,-3.88,0.314
12.15,-3.354,0.336
12.2,-2.336,0.362
12.25,-0.949,0.382
12.3,0.583,0.398
12.35,2.039,0.404
12.4,3.184,0.401
12.45,3.849,0.387
12.5,3.94,0.368
12.55,3.429,0.343
12.6,2.414,0.32
12.65,1.021,0.299
12.7,-0.508,0.281
12.75,-1.967,0.274
12.8,-3.112,0.276
12.85,-3.78,0.288
12.9,-3.868,0.309
12.95,-3.354,0.333
13,-2.333,0.36
13.05,-0.955,0.383
13.1,0.586,0.401
13.15,2.039,0.409
13.2,3.184,0.407
13.25,3.849,0.393
13.3,3.94,0.374
13.35,3.426,0.347
13.4,2.414,0.321
13.45,1.024,0.298
13.5,-0.514,0.278
13.55,-1.967,0.269
13.6,-3.112,0.27
13.65,-3.771,0.282
13.7,-3.868,0.304
13.75,-3.351,0.329
13.8,-2.336,0.358
13.85,-0.946,0.383
13.9,0.589,0.404
13.95,2.036,0.414
14,3.181,0.413
14.05,3.849,0.402
14.1,3.942,0.38
14.15,3.432,0.353
14.2,2.414,0.323
14.25,1.021,0.298
14.3,-0.508,0.276
14.35,-1.967,0.265
14.4,-3.112,0.265
14.45,-3.771,0.276
14.5,-3.871,0.298
14.55,-3.354,0.325
14.6,-2.336,0.356
14.65,-0.949,0.383
14.7,0.586,0.407
14.75,2.042,0.418
14.8,3.184,0.419
14.85,3.852,0.408
14.9,3.942,0.385
14.95,3.429,0.358
15,2.405,0.326
15.05,1.018,0.298
15.1,-0.52,0.274
15.15,-1.967,0.261
15.2,-3.119,0.259
15.25,-3.774,0.269
15.3,-3.868,0.29
15.35,-3.354,0.32
15.4,-2.333,0.35
15.45,-0.949,0.382
15.5,0.589,0.408
15.55,2.036,0.422
15.6,3.178,0.424
15.65,3.849,0.414
15.7,3.94,0.391
15.75,3.429,0.363
15.8,2.417,0.329
15.85,1.021,0.299
15.9,-0.511,0.272
15.95,-1.973,0.257
16,-3.109,0.254
16.05,-3.78,0.263
16.1,-3.871,0.283
16.15,-3.354,0.314
16.2,-2.345,0.347
16.25,-0.949,0.381
16.3,0.583,0.409
16.35,2.033,0.425
16.4,3.184,0.429
16.45,3.849,0.42
16.5,3.942,0.399
16.55,3.432,0.368
16.6,2.414,0.333
16.65,1.024,0.301
16.7,-0.511,0.271
16.75,-1.967,0.254
16.8,-3.112,0.249
16.85,-3.774,0.258
16.9,-3.874,0.278
16.95,-3.36,0.309
17,-2.333,0.343
17.05,-0.955,0.379
17.1,0.586,0.41
17.15,2.039,0.428
17.2,3.181,0.433
17.25,3.84,0.426
17.3,3.942,0.405
17.35,3.426,0.373
17.4,2.414,0.336
17.45,1.021,0.302
17.5,-0.508,0.271
17.55,-1.967,0.252
17.6,-3.115,0.245
17.65,-3.777,0.252
17.7,-3.868,0.272
17.75,-3.351,0.304
17.8,-2.336,0.339
17.85,-0.949,0.377
17.9,0.589,0.41
17.95,2.036,0.43
18,3.184,0.436
18.05,3.846,0.429
18.1,3.94,0.408
18.15,3.423,0.374
18.2,2.414,0.336
18.25,1.024,0.301
18.3,-0.508,0.269
18.35,-1.967,0.248
18.4,-3.106,0.241
18.45,-3.777,0.249
18.5,-3.868,0.269
18.55,-3.351,0.302
18.6,-2.345,0.339
18.65,-0.946,0.378
18.7,0.583,0.412
18.75,2.039,0.433
18.8,3.181,0.438
18.85,3.846,0.426
18.9,3.934,0.399
18.95,3.432,0.363
19,2.411,0.323
19.05,1.024,0.287
19.1,-0.514,0.257
19.15,-1.967,0.241
19.2,-3.109,0.239
19.25,-3.771,0.252
19.3,-3.871,0.278
19.35,-3.354,0.314
19.4,-2.339,0.355
19.45,-0.949,0.392
19.5,0.583,0.424
19.55,2.033,0.44
19.6,3.175,0.436
19.65,3.84,0.415
19.7,3.94,0.38
19.75,3.435,0.34
19.8,2.417,0.302
19.85,1.027,0.267
19.9,-0.508,0.244
19.95,-1.967,0.235
20,-3.115,0.241
20.05,-3.783,0.261
20.1,-3.88,0.295
20.15,-3.357,0.334
20.2,-2.345,0.376
20.25,-0.952,0.414
20.3,0.58,0.437
20.35,2.039,0.442
20.4,3.181,0.426
20.45,3.843,0.396
20.5,3.942,0.356
20.55,3.429,0.314
20.6,2.417,0.275
20.65,1.027,0.247
20.7,-0.505,0.233
20.75,-1.964,0.233
20.8,-3.106,0.249
20.85,-3.771,0.279
20.9,-3.868,0.319
20.95,-3.357,0.363
21,-2.345,0.404
21.05,-0.955,0.434
21.1,0.58,0.446
21.15,2.033,0.434
21.2,3.181,0.408
21.25,3.846,0.368
21.3,3.94,0.325
21.35,3.435,0.284
21.4,2.414,0.252
21.45,1.027,0.233
21.5,-0.505,0.229
21.55,-1.961,0.241
21.6,-3.119,0.267
21.65,-3.777,0.306
21.7,-3.871,0.348
21.75,-3.372,0.391
21.8,-2.342,0.428
21.85,-0.952,0.446
21.9,0.583,0.441
21.95,2.033,0.419
22,3.175,0.382
22.05,3.846,0.339
22.1,3.94,0.298
22.15,3.435,0.261
22.2,2.42,0.237
22.25,1.027,0.227
22.3,-0.505,0.234
22.35,-1.967,0.255
22.4,-3.106,0.289
22.45,-3.771,0.333
22.5,-3.868,0.378
22.55,-3.372,0.418
22.6,-2.345,0.443
22.65,-0.952,0.446
22.7,0.58,0.431
22.75,2.039,0.399
22.8,3.181,0.357
22.85,3.846,0.314
22.9,3.94,0.274
22.95,3.435,0.246
23,2.42,0.23
23.05,1.027,0.23
23.1,-0.505,0.246
23.15,-1.964,0.275
23.2,-3.109,0.316
23.25,-3.774,0.36
23.3,-3.868,0.403
23.35,-3.357,0.434
23.4,-2.342,0.448
23.45,-0.952,0.44
23.5,0.58,0.416
23.55,2.036,0.378
23.6,3.181,0.335
23.65,3.846,0.295
23.7,3.942,0.259
23.75,3.435,0.236
23.8,2.42,0.228
23.85,1.027,0.236
23.9,-0.505,0.259
23.95,-1.964,0.295
24,-3.106,0.336
24.05,-3.774,0.38
24.1,-3.874,0.419
24.15,-3.363,0.443
24.2,-2.342,0.447
24.25,-0.952,0.433
24.3,0.583,0.4
24.35,2.039,0.358
24.4,3.178,0.315
24.45,3.846,0.275
24.5,3.94,0.246
24.55,3.435,0.23
24.6,2.42,0.23
24.65,1.03,0.245
24.7,-0.505,0.274
24.75,-1.967,0.314
24.8,-3.109,0.358
24.85,-3.783,0.4
24.9,-3.871,0.432
24.95,-3.36,0.447
25,-2.345,0.44
25.05,-0.952,0.418
25.1,0.58,0.38
25.15,2.03,0.338
25.2,3.181,0.298
25.25,3.843,0.262
25.3,3.942,0.239
25.35,3.435,0.23
25.4,2.42,0.236
25.45,1.027,0.257
25.5,-0.514,0.29
25.55,-1.964,0.332
25.6,-3.115,0.375
25.65,-3.771,0.414
25.7,-3.868,0.439
25.75,-3.357,0.446
25.8,-2.342,0.433
25.85,-0.952,0.405
25.9,0.58,0.366
25.95,2.036,0.324
26,3.181,0.285
26.05,3.846,0.255
26.1,3.942,0.236
26.15,3.432,0.233
26.2,2.417,0.244
26.25,1.027,0.269
26.3,-0.505,0.306
26.35,-1.961,0.349
26.4,-3.106,0.388
26.45,-3.771,0.423
26.5,-3.868,0.443
26.55,-3.36,0.442
26.6,-2.342,0.429
26.65,-0.955,0.398
26.7,0.58,0.358
26.75,2.033,0.317
26.8,3.178,0.279
26.85,3.846,0.251
26.9,3.942,0.237
26.95,3.435,0.236
27,2.42,0.25
27.05,1.027,0.277
27.1,-0.508,0.315
27.15,-1.964,0.356
27.2,-3.106,0.396
27.25,-3.774,0.426
27.3,-3.874,0.442
27.35,-3.357,0.44
27.4,-2.342,0.421
27.45,-0.952,0.387
27.5,0.58,0.347
27.55,2.033,0.309
27.6,3.181,0.273
27.65,3.849,0.247
27.7,3.942,0.235
27.75,3.435,0.238
27.8,2.42,0.255
27.85,1.027,0.283
27.9,-0.505,0.322
27.95,-1.964,0.363
28,-3.109,0.402
28.05,-3.771,0.429
28.1,-3.871,0.443
28.15,-3.357,0.437
28.2,-2.345,0.416
28.25,-0.958,0.381
28.3,0.577,0.341
28.35,2.033,0.303
28.4,3.181,0.268
28.45,3.846,0.245
28.5,3.942,0.235
28.55,3.432,0.24
28.6,2.423,0.259
28.65,1.033,0.29
28.7,-0.508,0.329
28.75,-1.958,0.37
28.8,-3.103,0.407
28.85,-3.774,0.432
28.9,-3.877,0.443
28.95,-3.363,0.434
29,-2.345,0.411
29.05,-0.967,0.375
29.1,0.574,0.335
29.15,2.03,0.298
29.2,3.178,0.264
29.25,3.849,0.244
29.3,3.942,0.236
29.35,3.435,0.244
29.4,2.423,0.264
29.45,1.033,0.298
29.5,-0.496,0.335
29.55,-1.964,0.375
29.6,-3.103,0.411
29.65,-3.771,0.433
29.7,-3.868,0.442
29.75,-3.357,0.432
29.8,-2.357,0.409
29.85,-0.958,0.373
29.9,0.574,0.333
29.95,2.03,0.297
30,3.178,0.264
30.05,3.843,0.244
30.1,3.94,0.237
30.15,3.435,0.245
30.2,2.423,0.266
30.25,1.033,0.299
30.3,-0.496,0.336
30.35,-1.958,0.376
30.4,-3.103,0.411
30.45,-3.774,0.434
30.5,-3.877,0.441
30.55,-3.36,0.432
30.6,-2.345,0.409
30.65,-0.967,0.374
30.7,0.574,0.334
30.75,2.033,0.298
30.8,3.178,0.265
30.85,3.846,0.245
30.9,3.942,0.238
30.95,3.435,0.246
31,2.417,0.266
31.05,1.033,0.299
31.1,-0.508,0.336
31.15,-1.958,0.375
31.2,-3.103,0.41
31.25,-3.78,0.432
31.3,-3.868,0.441
31.35,-3.366,0.433
31.4,-2.345,0.412
31.45,-0.958,0.379
31.5,0.574,0.34
31.55,2.03,0.303
31.6,3.178,0.27
31.65,3.849,0.248
31.7,3.94,0.239
31.75,3.435,0.244
31.8,2.426,0.263
31.85,1.033,0.294
31.9,-0.508,0.33
31.95,-1.958,0.37
32,-3.103,0.405
32.05,-3.78,0.43
32.1,-3.868,0.441
32.15,-3.372,0.435
32.2,-2.354,0.417
32.25,-0.958,0.385
32.3,0.574,0.346
32.35,2.03,0.31
32.4,3.178,0.275
32.45,3.843,0.251
32.5,3.942,0.239
32.55,3.435,0.242
32.6,2.423,0.258
32.65,1.033,0.286
32.7,-0.496,0.323
32.75,-1.958,0.363
32.8,-3.112,0.4
32.85,-3.771,0.426
32.9,-3.868,0.44
32.95,-3.357,0.437
33,-2.345,0.421
33.05,-0.958,0.39
33.1,0.574,0.354
33.15,2.03,0.315
33.2,3.166,0.279
33.25,3.846,0.253
33.3,3.94,0.24
33.35,3.435,0.241
33.4,2.423,0.255
33.45,1.033,0.281
33.5,-0.499,0.318
33.55,-1.958,0.358
33.6,-3.106,0.393
33.65,-3.774,0.424
33.7,-3.88,0.439
33.75,-3.36,0.438
33.8,-2.348,0.423
33.85,-0.958,0.392
33.9,0.574,0.357
33.95,2.024,0.317
34,3.178,0.281
34.05,3.846,0.255
34.1,3.942,0.24
34.15,3.435,0.24
34.2,2.423,0.253
34.25,1.033,0.279
34.3,-0.505,0.316
34.35,-1.958,0.355
34.4,-3.112,0.391
34.45,-3.771,0.423
34.5,-3.871,0.439
34.55,-3.357,0.439
34.6,-2.345,0.423
34.65,-0.967,0.392
34.7,0.574,0.357
34.75,2.03,0.317
34.8,3.178,0.28
34.85,3.846,0.254
34.9,3.942,0.239
34.95,3.435,0.239
35,2.417,0.252
35.05,1.03,0.278
35.1,-0.496,0.315
35.15,-1.964,0.355
35.2,-3.103,0.392
35.25,-3.771,0.423
35.3,-3.871,0.439
35.35,-3.366,0.439
35.4,-2.345,0.423
35.45,-0.958,0.391
35.5,0.574,0.355
35.55,2.03,0.315
35.6,3.175,0.279
35.65,3.846,0.252
35.7,3.94,0.239
35.75,3.435,0.239
35.8,2.426,0.253
35.85,1.03,0.28
35.9,-0.496,0.317
35.95,-1.958,0.357
36,-3.106,0.394
36.05,-3.78,0.425
36.1,-3.874,0.44
36.15,-3.363,0.438
36.2,-2.345,0.422
36.25,-0.958,0.39
36.3,0.574,0.353
36.35,2.03,0.314
36.4,3.178,0.277
36.45,3.837,0.252
36.5,3.942,0.239
36.55,3.435,0.24
36.6,2.426,0.254
36.65,1.036,0.281
36.7,-0.496,0.319
36.75,-1.958,0.359
36.8,-3.103,0.397
36.85,-3.771,0.425
36.9,-3.871,0.44
36.95,-3.36,0.438
37,-2.348,0.421
37.05,-0.961,0.39
37.1,0.565,0.354
37.15,2.027,0.314
37.2,3.175,0.278
37.25,3.846,0.252
37.3,3.942,0.239
37.35,3.438,0.24
37.4,2.429,0.255
37.45,1.039,0.282
37.5,-0.496,0.318
37.55,-1.961,0.358
37.6,-3.103,0.397
37.65,-3.771,0.425
37.7,-3.871,0.44
37.75,-3.36,0.438
37.8,-2.351,0.422
37.85,-0.967,0.39
37.9,0.568,0.354
37.95,2.021,0.315
38,3.175,0.278
38.05,3.846,0.252
38.1,3.94,0.239
38.15,3.444,0.24
38.2,2.426,0.254
38.25,1.033,0.281
38.3,-0.493,0.318
38.35,-1.952,0.358
38.4,-3.103,0.394
38.45,-3.771,0.425
38.5,-3.874,0.44
38.55,-3.366,0.438
38.6,-2.36,0.421
38.65,-0.964,0.389
38.7,0.568,0.353
38.75,2.024,0.313
38.8,3.178,0.277
38.85,3.846,0.252
38.9,3.942,0.239
38.95,3.441,0.24
39,2.426,0.255
39.05,1.03,0.282
39.1,-0.493,0.319
39.15,-1.955,0.359
39.2,-3.103,0.397
39.25,-3.771,0.425
39.3,-3.874,0.44
39.35,-3.363,0.438
39.4,-2.357,0.42
39.45,-0.964,0.388
39.5,0.571,0.35
39.55,2.021,0.312
39.6,3.175,0.276
39.65,3.846,0.251
39.7,3.942,0.238
39.75,3.441,0.24
39.8,2.429,0.255
39.85,1.039,0.283
39.9,-0.496,0.32
39.95,-1.961,0.36
40,-3.1,0.398
40.05,-3.771,0.426
40.1,-3.874,0.44
40.15,-3.363,0.437
40.2,-2.357,0.419
40.25,-0.964,0.387
40.3,0.571,0.348
40.35,2.024,0.311
40.4,3.178,0.275
40.45,3.846,0.25
40.5,3.946,0.238
40.55,3.432,0.24
40.6,2.429,0.256
40.65,1.039,0.284
40.7,-0.493,0.322
40.75,-1.955,0.362
40.8,-3.109,0.399
40.85,-3.771,0.427
40.9,-3.88,0.441
40.95,-3.369,0.437
41,-2.351,0.418
41.05,-0.964,0.385
41.1,0.565,0.347
41.15,2.024,0.309
41.2,3.178,0.274
41.25,3.846,0.25
41.3,3.942,0.238
41.35,3.438,0.241
41.4,2.423,0.257
41.45,1.039,0.285
41.5,-0.493,0.323
41.55,-1.952,0.363
41.6,-3.109,0.401
41.65,-3.771,0.428
41.7,-3.871,0.441
41.75,-3.363,0.436
41.8,-2.354,0.418
41.85,-0.964,0.385
41.9,0.571,0.346
41.95,2.024,0.309
42,3.175,0.274
42.05,3.846,0.25
42.1,3.946,0.238
42.15,3.438,0.241
42.2,2.429,0.257
42.25,1.039,0.286
42.3,-0.493,0.323
42.35,-1.955,0.363
42.4,-3.1,0.401
42.45,-3.78,0.428
42.5,-3.874,0.441
42.55,-3.366,0.437
42.6,-2.357,0.418
42.65,-0.967,0.386
42.7,0.571,0.347
42.75,2.024,0.31
42.8,3.175,0.274
42.85,3.843,0.25
42.9,3.94,0.238
42.95,3.441,0.241
43,2.426,0.257
43.05,1.039,0.285
43.1,-0.502,0.323
43.15,-1.961,0.363
43.2,-3.103,0.401
43.25,-3.771,0.428
43.3,-3.877,0.441
43.35,-3.372,0.437
43.4,-2.351,0.419
43.45,-0.964,0.387
43.5,0.571,0.351
43.55,2.024,0.311
43.6,3.175,0.275
43.65,3.846,0.251
43.7,3.942,0.239
43.75,3.441,0.241
43.8,2.429,0.257
43.85,1.039,0.284
43.9,-0.493,0.322
43.95,-1.958,0.362
44,-3.109,0.399
44.05,-3.777,0.427
44.1,-3.874,0.44
44.15,-3.363,0.437
44.2,-2.357,0.42
44.25,-0.973,0.388
44.3,0.571,0.352
44.35,2.021,0.313
44.4,3.175,0.277